codigo,valor_atual,min_52_semanas,max_52_semanas,valorizacao_12m,liquidez_media_diaria,dy,p/l,peg_ratio,p/vp,ev/ebitda,ev/ebit,p/ebitda,p/ebit,vpa,p/ativo,lpa,p/sr,p/cap_giro,p/ativo_circ_liq,div_liquida/pl,div_liquida/ebitda,div_liquida/ebit,pl/ativos,passivos/ativos,liq_corrente,m_bruta,m_ebitda,m_ebit,m_liquida,roe,roa,roic,giro_ativos,cagr_receitas_5_anos,cagr_lucros_5_anos,patrimonio_liquido,ativos,ativo_circulante,divida_bruta,disponibilidade,divida_liquida,valor_de_mercado,valor_de_firma,segmento_de_listagem,free_float,setor_de_atuacao,subsetor_de_atuacao,segmento_de_atuacao
SULA4,8.19,7.47,11.68,-0.299,187206.35,0.009,25.82,-0.3,1.27,-20.51,-103.9,56.1,284.13,6.46,0.38,0.32,0.54,1.04,-1.15,-1.74,-76.84,-389.18,0.3,0.7,2.19,0.08,0.01,0.002,0.021,0.049,0.015,-0.016,0.7,0.05,-0.112,8256911000.0,27711292000.0,18563174000.0,2096725000.0,16463304000.0,-14366579000.0,10531137040.0,-3835441960.0,Nível 2,0.665,Financeiro e Outros,Previdência e Seguros,Seguradoras
SUZB3,59.98,48.38,79.18,-0.061,378354110.78,0.012,6.67,-0.04,6.03,6.19,8.84,3.6,5.15,9.93,0.72,8.99,2.17,3.93,-0.97,4.32,2.58,3.69,0.12,0.88,3.32,0.472,0.603,0.422,0.326,0.905,0.108,0.14,0.33,0.244,0.0,13518491000.0,113383292000.0,29686031000.0,77147896000.0,18690042000.0,58457854000.0,81594139225.0,140051993225.0,Novo Mercado,0.534,Materiais Básicos,Madeira e Papel,Papel e Celulose
TAEE11,37.67,27.01,39.15,0.265,84191706.87,0.119,4.96,0.08,1.88,6.42,4.83,4.39,3.3,20.1,0.81,7.6,3.31,10.13,-0.96,0.87,2.04,1.53,0.43,0.57,2.04,0.792,0.754,1.002,0.667,0.378,0.163,0.244,0.24,0.182,0.236,6925829000.0,16104988000.0,2520585000.0,7001102000.0,967879000.0,6033223000.0,12991053783.0,19024276783.0,Nível 2,0.635,Utilidade Pública,Energia Elétrica,Energia Elétrica
TAEE3,12.59,9.05,13.06,0.27,817500.91,0.119,4.97,0.08,1.88,6.42,4.83,4.4,3.31,6.7,0.81,2.53,3.31,10.15,-0.96,0.87,2.04,1.53,0.43,0.57,2.04,0.792,0.754,1.002,0.667,0.378,0.163,0.244,0.24,0.182,0.236,6925829000.0,16104988000.0,2520585000.0,7001102000.0,967879000.0,6033223000.0,12991053783.0,19024276783.0,Nível 2,0.635,Utilidade Pública,Energia Elétrica,Energia Elétrica
TAEE4,12.56,9.05,13.05,0.261,1756533.43,0.119,4.96,0.08,1.87,6.42,4.83,4.38,3.3,6.7,0.81,2.53,3.3,10.12,-0.96,0.87,2.04,1.53,0.43,0.57,2.04,0.792,0.754,1.002,0.667,0.378,0.163,0.244,0.24,0.182,0.236,6925829000.0,16104988000.0,2520585000.0,7001102000.0,967879000.0,6033223000.0,12991053783.0,19024276783.0,Nível 2,0.635,Utilidade Pública,Energia Elétrica,Energia Elétrica
TASA3,22.19,17.71,28.53,0.193,848125.7,0.0,3.67,0.0,4.32,3.43,3.57,3.04,3.17,5.1,1.39,5.99,1.05,4.03,-4.37,0.57,0.4,0.42,0.32,0.68,2.03,0.47,0.345,0.331,0.285,1.176,0.38,0.658,1.33,0.166,0.0,601833000.0,1863297000.0,1268668000.0,515187000.0,174097000.0,341090000.0,2592431664.0,2933521664.0,Nível 2,0.616,Bens Industriais,Máquinas e Equipamentos,Armas e Munições
TASA4,21.63,17.46,28.76,0.223,17184309.91,0.0,3.61,0.0,4.24,3.43,3.57,2.98,3.11,5.1,1.37,5.99,1.03,3.96,-4.29,0.57,0.4,0.42,0.32,0.68,2.03,0.47,0.345,0.331,0.285,1.176,0.38,0.658,1.33,0.166,0.0,601833000.0,1863297000.0,1268668000.0,515187000.0,174097000.0,341090000.0,2592431664.0,2933521664.0,Nível 2,0.616,Bens Industriais,Máquinas e Equipamentos,Armas e Munições
TCNO3,1.82,0.95,7.83,-0.153,39938.26,0.0,-19.0,1.86,-20.85,0.0,-69.08,0.0,-19.0,-0.09,0.05,-0.1,0.0,-0.12,-0.06,0.0,0.0,-53.35,0.0,1.0,0.29,0.0,0.0,0.0,0.0,-1.097,-0.003,-0.019,0.0,0.0,0.0,-578000.0,236228000.0,39894000.0,33829000.0,7000.0,33822000.0,9977479.0,43799479.0,,0.0,Bens Industriais,Construção e Engenharia,Engenharia Consultiva
TCNO4,1.34,0.65,6.28,-0.056,99844.17,0.0,-13.99,1.37,-15.35,0.0,-69.08,0.0,-13.99,-0.09,0.04,-0.1,0.0,-0.09,-0.05,0.0,0.0,-53.35,0.0,1.0,0.29,0.0,0.0,0.0,0.0,-1.097,-0.003,-0.019,0.0,0.0,0.0,-578000.0,236228000.0,39894000.0,33829000.0,7000.0,33822000.0,9977479.0,43799479.0,,0.0,Bens Industriais,Construção e Engenharia,Engenharia Consultiva
TCSA3,3.7,2.62,9.17,-0.595,2328967.22,0.0,-1.74,0.09,0.42,-4.4,-6.23,-1.86,-2.63,8.82,0.17,-2.13,1.62,0.6,-0.32,0.57,-2.55,-3.61,0.41,0.57,2.81,0.053,-0.875,-0.618,-0.935,-0.241,-0.1,-0.088,0.11,-0.323,0.0,649131000.0,1564345000.0,706226000.0,556074000.0,183453000.0,372621000.0,270918766.0,643539766.0,Novo Mercado,0.691,Consumo Cíclico,Construção Civil,Incorporações
TECN3,2.6,1.25,3.89,0.94,3062916.26,0.031,15.89,-0.14,0.63,0.0,5.7,0.0,5.05,4.12,0.32,0.16,0.64,0.73,-0.83,0.07,0.0,0.55,0.5,0.5,3.41,0.517,0.0,0.127,0.04,0.04,0.02,0.053,0.49,-0.092,-0.102,323227000.0,644655000.0,397799000.0,135248000.0,113232000.0,22016000.0,208041470.0,230057470.0,Novo Mercado,0.638,Consumo Cíclico,Tecidos Vestuário e Calçados,Acessórios
